Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
95,CQ0VCSC,145.600000,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,VHF FM Cascais
96,CQ0VCD,145.612500,-,0.600000,Tone,74.4,74.4,023,NN,FM,12.50,,VHF FM Serra dos Candeeiros
97,CQ0VTA,145.625000,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,VHF FM Alcaria do Cume - Tavira
98,CQ2VCG,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Madeira Cabo Girão - Câmara Lobos
99,CQ2VIC,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Madeira Ilhéu Chão - Desertas
100,CQ2VPS,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Madeira Pico do Silva - Funchal
101,CQ2VMF,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Madeira Miradouro Flores - Porto Santo
102,CQ1VF,145.600000,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,VHF FM Açores Cabeço Gordo - Faial
103,CQ1VPA,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Pico Alto - Santa Maria
104,CQ1VB,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Barrosa - São Miguel
105,CQ1VP,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Ilha do Pico
106,CQ1VSB,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Sta Bárbara - Terceira
107,CQ1VCM,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Cume - Terceira
108,CQ1VPB,145.750000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Bartolomeu - São Miguel
109,CQ1VSC,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Santos de Cima - São Miguel
110,CQ1VMA,145.787500,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Morro Alto - Flores
111,CQ0DRLX,438.237500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Areeiro - Lisboa
112,CQ0DUAI,438.275000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra de Aire
113,CQ0UMST,438.650000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Monsanto - Lisboa
114,CQ0UFO,438.675000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Fóia - Serra de Monchique
115,CQ0UCA,438.700000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra do Buçaco
116,CQ0USM,438.700000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Cerro de São Miguel - Olhão
117,CQ0UCD,438.725000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra dos Candeeiros
118,CQ0UVAR,438.750000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Varatojo - Torres Vedras
119,CQ0USMA,438.750000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Serra de São Mamede
120,CQ0UARC,438.775000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Santa Clara - Coimbra
121,CQ0UAE,438.800000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Serra do Arestal - Aveiro
122,CQ0UAM,438.800000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Moinhos da Funcheira - Amadora
123,CQ0UDA,438.800000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,UHF FM São Pedro de Solis - Mértola
124,CQ0USE,438.825000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,UHF FM Torre - Serra da Estrela
125,CQ0ULO,438.850000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Alto do Trevim - Serra da Lousã
126,CQ0URBL,438.875000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM São Tomé - Oliveira de Azeméis
127,CQ0UAL,438.875000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra de Aire
128,CQ0UEC,438.875000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Serra da Amoreira - Odivelas
129,CQ0UCO,438.900000,-,7.600000,Tone,114.8,114.8,023,NN,FM,12.50,,UHF FM Serra de Côta - Viseu
