Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
30,CQ1VF,145.600000,-,0.600000,Tone,123.0,123.0,023,NN,FM,12.50,,VHF FM Açores Cabeço Gordo - Faial
31,CQ1VPA,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Pico Alto - Santa Maria
32,CQ1VB,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Barrosa - São Miguel
33,CQ1VP,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Ilha do Pico
34,CQ1VSB,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Sta Bárbara - Terceira
35,CQ1VCM,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Cume - Terceira
36,CQ1VPB,145.750000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Bartolomeu - São Miguel
37,CQ1VSC,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Santos de Cima - São Miguel
38,CQ1VMA,145.787500,-,0.600000,Tone,88.5,88.5,023,NN,FM,12.50,,VHF FM Açores Morro Alto - Flores
39,CQ0DRLX,438.237500,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Areeiro - Lisboa
40,CQ0DUAI,438.275000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra de Aire
41,CQ0UMST,438.650000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Monsanto - Lisboa
42,CQ0UFO,438.675000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Fóia - Serra de Monchique
43,CQ0URTD,438.700000,-,7.600000,Tone,123.0,123.0,023,NN,FM,12.50,,UHF FM Amarante
44,CQ0UCA,438.700000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra do Buçaco
45,CQ0USM,438.700000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Cerro de São Miguel - Olhão
46,CQ0UCD,438.725000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Serra dos Candeeiros
47,CQ0UVAR,438.750000,-,7.600000,Tone,74.4,74.4,023,NN,FM,12.50,,UHF FM Varatojo - Torres Vedras
48,CQ0USMA,438.750000,-,7.600000,Tone,67.0,67.0,023,NN,FM,12.50,,UHF FM Serra de São Mamede
49,CQ0UARC,438.775000,-,7.600000,Tone,131.8,131.8,023,NN,FM,12.50,,UHF FM Santa Clara - Coimbra
